Comment,Designator,Footprint,LCSC,Quantity
0.1uF,"C44,C47",C_0402_1005Metric,C1525,2
100nF,"C2,C3",C_0402_1005Metric,C1525,2
10k,R6,R_0402_1005Metric,C25744,1
10nF,C4,C_0402_1005Metric,C15195,1
1k,"R11,R13,R4,R5",R_0402_1005Metric,C11702,4
1uF,"C1,C24,C43",C_0402_1005Metric,C52923,3
2.49k,R37,R_0402_1005Metric,C145071,1
22,"R10,R9",R_0402_1005Metric,C25092,2
4.7uF,"C20,C21",C_0402_1005Metric,C23733,2
5.1k,"R1,R2,R7",R_0402_1005Metric,C25905,3
56k,R3,R_0402_1005Metric,C25794,1
8pF,"C45,C46",C_0402_1005Metric,C1549,2
AP131-33,U18,SOT-23-5,C6864,1
BLUE,D2,LED_0603_1608Metric,C2290,1
ECS-320-8-33Q-JES-TR,Y2,Crystal_SMD_Abracon_ABM8G-4Pin_3.2x2.5mm,C3034370,1
FerriteBead_Small,FB1,L_0402_1005Metric,C269768,1
LED,D3,LED_0603_1608Metric,C2286,1
LED,D4,LED_0603_1608Metric,C2290,1
MCP73831-2-OT,U17,SOT-23-5,C424093,1
RED,D1,LED_0603_1608Metric,C2286,1
STM32F042C4Tx,U3,LQFP-48_7x7mm_P0.5mm,C88447,1
USB_C_Receptacle_USB2.0_16P,J4,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,C3020560,1
WE-TVS-82400102,U2,SOT-23-6,C1975330,1
Conn_01x02,J3,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,,1
RN4678-V/RM113,U4,RN4678_MCH,,1
SW_Push_SPDT,SW1,SW_E-Switch_EG1224_SPDT_Angled,,1
~,U5,N511CS,,1
SMA_Edgelaunch,J1,SMA_Amphenol_132289_EdgeMount,,1
Conn_01x02,J5,PinHeader_1x02_P2.54mm_Vertical,,1
