Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0402_1005Metric,68.6,-78.4,-90.0,top
C2,100nF,C_0402_1005Metric,66.6,-76.4,90.0,top
C20,4.7uF,C_0402_1005Metric,52.4,-60.3,-90.0,top
C21,4.7uF,C_0402_1005Metric,53.607,-64.962,-90.0,top
C24,1uF,C_0402_1005Metric,68.6,-76.4,90.0,top
C3,100nF,C_0402_1005Metric,67.6,-76.42,90.0,top
C4,10nF,C_0402_1005Metric,73.1,-76.400001,90.0,top
C43,1uF,C_0402_1005Metric,70.5475,-57.327501,90.0,top
C44,0.1uF,C_0402_1005Metric,71.547501,-57.327501,90.0,top
C45,8pF,C_0402_1005Metric,73.507,-57.927501,180.0,top
C46,8pF,C_0402_1005Metric,72.507,-63.127501,0.0,top
C47,0.1uF,C_0402_1005Metric,65.0,-91.2,-90.0,top
D1,RED,LED_0603_1608Metric,65.2875,-48.8,-90.0,top
D2,BLUE,LED_0603_1608Metric,66.787501,-48.712499,-90.0,top
D3,LED,LED_0603_1608Metric,50.087501,-58.4,180.0,top
D4,LED,LED_0603_1608Metric,50.287501,-59.9,0.0,top
FB1,FerriteBead_Small,L_0402_1005Metric,71.1325,-55.927501,180.0,top
J4,USB_C_Receptacle_USB2.0_16P,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,44.957,-68.522,-90.0,top
R1,5.1k,R_0402_1005Metric,49.517,-66.722001,0.0,top
R10,22,R_0402_1005Metric,49.517,-68.722,0.0,top
R11,1k,R_0402_1005Metric,65.2875,-51.212498,-90.0,top
R13,1k,R_0402_1005Metric,66.787501,-51.212499,-90.0,top
R2,5.1k,R_0402_1005Metric,49.517,-70.222,0.0,top
R3,56k,R_0402_1005Metric,54.9,-76.8,180.0,top
R37,2.49k,R_0402_1005Metric,49.216999,-62.531999,90.0,top
R4,1k,R_0402_1005Metric,53.4,-60.3,-90.0,top
R5,1k,R_0402_1005Metric,54.116999,-63.221999,0.0,top
R6,10k,R_0402_1005Metric,55.607,-64.932,90.0,top
R7,5.1k,R_0402_1005Metric,54.617,-64.931999,-90.0,top
R9,22,R_0402_1005Metric,49.517,-67.721999,0.0,top
U17,MCP73831-2-OT,SOT-23-5,51.417,-63.322,0.0,top
U18,AP131-33,SOT-23-5,70.9,-76.9625,0.0,top
U2,WE-TVS-82400102,SOT-23-6,52.8545,-68.071999,270.0,top
U3,STM32F042C4Tx,LQFP-48_7x7mm_P0.5mm,64.9375,-58.250001,90.0,top
Y2,ECS-320-8-33Q-JES-TR,Crystal_SMD_Abracon_ABM8G-4Pin_3.2x2.5mm,72.457,-60.527501,90.0,top
